Took,Over,Draft Round,Edge,Result,Account
Dart Goblin,Zappies,3,-0.117,Win,#9RG0VPUVY
Royal Giant,Lava Hound,3,-0.116,Win,#9RG0VPUVY
Hunter,Zap,4,-0.112,Win,#9RG0VPUVY
Mother Witch,Executioner,2,-0.112,Win,#9RG0VPUVY
Mother Witch,Wizard,4,-0.111,Win,#9RG0VPUVY
Tesla,Inferno Dragon,3,-0.110,Loss,#9RG0VPUVY
Wizard,Royal Hogs,4,-0.110,Loss,#9RG0VPUVY
P.E.K.K.A,Electro Spirit,1,-0.110,Win,#9RG0VPUVY
Wizard,Royal Hogs,3,-0.110,Loss,#9RG0VPUVY
Ronin,Royal Delivery,4,-0.107,Loss,#9RG0VPUVY
Goblin Barrel,Musketeer,1,-0.104,Win,#9RG0VPUVY
Bandit,Three Musketeers,2,-0.103,Win,#9RQ8YRYQL
Rage,Flying Machine,3,-0.101,Win,#9RG0VPUVY
Rage,Flying Machine,4,-0.101,Win,#9RG0VPUVY
Goblin Hut,Witch,4,-0.098,Win,#9RG0VPUVY
Royal Hogs,Vines,3,-0.095,Win,#9RG0VPUVY
Wizard,Tombstone,2,-0.095,Loss,#9RQ8YRYQL
Vines,Skeleton Barrel,1,-0.095,Win,#9RG0VPUVY
Executioner,Tombstone,3,-0.094,Win,#9RG0VPUVY
Poison,Skeleton Barrel,3,-0.094,Win,#9RG0VPUVY
Baby Dragon,Furnace,3,-0.091,Win,#9RG0VPUVY
Knight,Rascals,3,-0.090,Win,#9RG0VPUVY
Mortar,Baby Dragon,1,-0.089,Win,#9RG0VPUVY
Goblin Giant,Flying Machine,3,-0.088,Win,#9RG0VPUVY
X-Bow,Lava Hound,2,-0.088,Loss,#9RG0VPUVY
Giant Snowball,Heal Spirit,3,-0.087,Loss,#9RG0VPUVY
Giant Snowball,Heal Spirit,2,-0.087,Win,#9RG0VPUVY
Goblin Giant,Rune Giant,3,-0.087,Loss,#9RG0VPUVY
P.E.K.K.A,Berserker,4,-0.085,Win,#9RG0VPUVY
P.E.K.K.A,Berserker,4,-0.085,Loss,#9RG0VPUVY
Valkyrie,Bandit,1,-0.084,Win,#9RG0VPUVY
Poison,Goblin Drill,3,-0.083,Loss,#9RG0VPUVY
Dart Goblin,Princess,2,-0.082,Win,#9RG0VPUVY
Elite Barbarians,Rune Giant,2,-0.079,Win,#9RG0VPUVY
